source_id,target_id,edge_type_id,edge_weight
19,70,2,0.9
19,78,2,0.9
19,81,2,0.9
19,84,2,0.9
19,86,2,0.9
19,90,2,0.9
19,91,2,0.9
19,96,2,0.9
19,97,2,0.9
19,104,2,0.9
19,105,2,0.9
19,106,2,0.9
19,108,2,0.9
19,111,2,0.9
19,116,2,0.9
19,117,2,0.9
19,122,2,0.9
19,124,2,0.9
19,125,2,0.9
20,25,2,0.9
20,36,2,0.9
20,56,2,0.9
20,65,2,0.9
20,66,2,0.9
20,70,2,0.9
20,78,2,0.9
20,84,2,0.9
20,86,2,0.9
20,96,2,0.9
20,97,2,0.9
20,104,2,0.9
20,111,2,0.9
20,116,2,0.9
20,117,2,0.9
20,124,2,0.9
25,36,2,0.9
25,66,2,0.9
25,70,2,0.9
25,81,2,0.9
25,84,2,0.9
25,97,2,0.9
25,104,2,0.9
25,106,2,0.9
25,116,2,0.9
36,62,2,0.9
36,65,2,0.9
36,66,2,0.9
36,70,2,0.9
36,84,2,0.9
36,86,2,0.9
36,97,2,0.9
36,104,2,0.9
36,116,2,0.9
36,117,2,0.9
41,44,2,0.9
41,47,2,0.9
41,65,2,0.9
41,66,2,0.9
41,70,2,0.9
41,78,2,0.9
41,86,2,0.9
41,97,2,0.9
41,104,2,0.9
41,116,2,0.9
41,124,2,0.9
41,125,2,0.9
44,65,2,0.9
44,66,2,0.9
44,70,2,0.9
44,97,2,0.9
44,104,2,0.9
44,116,2,0.9
44,124,2,0.9
44,125,2,0.9
47,65,2,0.9
47,66,2,0.9
47,70,2,0.9
47,78,2,0.9
47,86,2,0.9
47,104,2,0.9
47,116,2,0.9
47,125,2,0.9
55,66,2,0.9
55,70,2,0.9
55,97,2,0.9
55,104,2,0.9
55,108,2,0.9
55,116,2,0.9
55,122,2,0.9
55,125,2,0.9
56,65,2,0.9
56,66,2,0.9
56,70,2,0.9
56,78,2,0.9
56,84,2,0.9
56,86,2,0.9
56,104,2,0.9
56,105,2,0.9
56,111,2,0.9
56,116,2,0.9
56,124,2,0.7
62,66,2,0.9
62,70,2,0.9
62,104,2,0.9
62,116,2,0.9
65,66,2,0.9
65,70,2,0.9
65,78,2,0.9
65,84,2,0.9
65,86,2,0.9
65,96,2,0.9
65,97,2,0.9
65,104,2,0.9
65,116,2,0.9
65,117,2,0.9
65,124,2,0.9
65,125,2,0.9
66,70,2,0.9
66,78,2,0.9
66,81,2,0.9
66,84,2,0.9
66,86,2,0.9
